Date,Country,City,Specie,count,min,max,median,variance
17-03-2019,IN,Kolkata,wind-gust,4,14.4,14.4,14.4,0
14-03-2019,IN,Kolkata,wind-gust,4,12.8,12.8,12.8,0
26-04-2019,IN,Kolkata,wind-gust,4,15.4,15.4,15.4,0
13-05-2019,IN,Kolkata,wind-gust,4,12.3,12.3,12.3,0
02-06-2019,IN,Kolkata,wind-gust,4,15.4,15.4,15.4,0
12-06-2019,IN,Kolkata,wind-gust,4,12.8,12.8,12.8,0
09-04-2019,IN,Kolkata,wind-gust,4,12.8,12.8,12.8,0
13-04-2019,IN,Kolkata,wind-gust,4,14.4,14.4,14.4,0
21-04-2019,IN,Kolkata,wind-gust,8,11.5,12.8,11.5,4.83
