Date,Country,City,Specie,count,min,max,median,variance,,,,,,,,
09-03-2019,IN,Kolkata,pressure,120,1010,1014.5,1011,18.82,,,,,,,,
24-03-2019,IN,Kolkata,pressure,96,1008,1013,1010,19.72,,,,,,,,
12-01-2019,IN,Kolkata,pressure,120,1014,1019,1015,18.14,,,,,,,,
14-01-2019,IN,Kolkata,pressure,120,1012,1016,1014,11.42,,,,,,,,
01-02-2019,IN,Kolkata,pressure,120,1013,1018,1015,19.53,,,,,,,,
06-02-2019,IN,Kolkata,pressure,120,1011,1025.3,1013,26.23,,,,,,,,
13-02-2019,IN,Kolkata,pressure,120,1015,1021,1018,34.98,,,,,,,,
18-02-2019,IN,Kolkata,pressure,120,1009,1014,1010.5,19.74,,,,,,,,
11-03-2019,IN,Kolkata,pressure,120,1010,1015,1012,16.86,,,,,,,,
31-03-2019,IN,Kolkata,pressure,115,1003,1009,1007,29.35,,,,,,,,
08-01-2019,IN,Kolkata,pressure,120,1011,1015,1013,14.79,,,,,,,,
03-02-2019,IN,Kolkata,pressure,120,1014,1019,1016,19.41,,,,,,,,
04-02-2019,IN,Kolkata,pressure,120,1015,1030.3,1017,73.13,,,,,,,,
14-02-2019,IN,Kolkata,pressure,120,1012,1018,1015,22.39,,,,,,,,
05-01-2019,IN,Kolkata,pressure,120,1015,1020,1017,17.31,,,,,,,,
15-02-2019,IN,Kolkata,pressure,120,1012.5,1017,1014,16.87,,,,,,,,
21-02-2019,IN,Kolkata,pressure,120,1013,1018,1016,29.81,,,,,,,,
22-03-2019,IN,Kolkata,pressure,114,1006.5,1012,1010,22.01,,,,,,,,
28-03-2019,IN,Kolkata,pressure,120,1008,1014,1012,35.29,,,,,,,,
