Date,Country,City,Specie,count,min,max,median,variance
29-06-2019,IN,Kolkata,pm10,96,27,99,60,2782.11
11-06-2019,IN,Kolkata,pm10,93,31,75,52,1117.46
12-04-2019,IN,Kolkata,pm10,82,24,82,58,1691.25
30-04-2019,IN,Kolkata,pm10,79,20,595,44,47649.8
03-05-2019,IN,Kolkata,pm10,70,17,64,32,1446.75
07-05-2019,IN,Kolkata,pm10,72,56,100,69,1276.06
11-05-2019,IN,Kolkata,pm10,72,57,101,69,1341.12
23-05-2019,IN,Kolkata,pm10,96,27,85,56,1755.37
04-06-2019,IN,Kolkata,pm10,94,31,99,54,2168.69
25-06-2019,IN,Kolkata,pm10,96,20,73,51,2164.1
10-09-2019,IN,Kolkata,pm10,96,37,71,53,852.14
01-07-2019,IN,Kolkata,pm10,95,14,82,45,3249.19
07-07-2019,IN,Kolkata,pm10,95,21,83,43,3126.43
23-07-2019,IN,Kolkata,pm10,96,14,98,34,3485.82
27-07-2019,IN,Kolkata,pm10,96,15,83,37,3154.21
03-10-2019,IN,Kolkata,pm10,74,6,144,70,4817.38
10-07-2019,IN,Kolkata,pm10,96,23,106,54,6453.68
17-07-2019,IN,Kolkata,pm10,71,61,119,75,1871.51
19-08-2019,IN,Kolkata,pm10,70,15,64,34,1663.56
28-09-2019,IN,Kolkata,pm10,96,26,74,46,1131.52
17-08-2019,IN,Kolkata,pm10,72,11,96,34,5907.32
20-08-2019,IN,Kolkata,pm10,84,22,110,53,3696.99
13-09-2019,IN,Kolkata,pm10,86,31,103,52,2253.91
20-07-2019,IN,Kolkata,pm10,72,21,67,40,1069.01
29-07-2019,IN,Kolkata,pm10,92,7,59,25,2196.15
08-08-2019,IN,Kolkata,pm10,89,6,58,21,2421.5
13-08-2019,IN,Kolkata,pm10,85,12,65,31,1644.4
06-10-2019,IN,Kolkata,pm10,72,52,101,72,2047.42
24-07-2019,IN,Kolkata,pm10,95,13,76,40,3007
28-07-2019,IN,Kolkata,pm10,95,10,52,24,1242.31
18-08-2019,IN,Kolkata,pm10,71,17,75,28,1929.41
24-09-2019,IN,Kolkata,pm10,87,8,56,28,1090.96
21-08-2019,IN,Kolkata,pm10,96,36,82,58,1348.95
22-08-2019,IN,Kolkata,pm10,95,26,93,59,2154.6
06-09-2019,IN,Kolkata,pm10,96,13,54,27,1111.14
07-09-2019,IN,Kolkata,pm10,93,12,63,32,1648.31
11-07-2019,IN,Kolkata,pm10,95,24,135,54,6824.9
18-07-2019,IN,Kolkata,pm10,71,23,95,60,2686.23
30-07-2019,IN,Kolkata,pm10,96,20,70,42,1873.25
11-08-2019,IN,Kolkata,pm10,85,40,164,71,6441.58
21-09-2019,IN,Kolkata,pm10,96,8,118,58,3335.17
27-09-2019,IN,Kolkata,pm10,96,29,85,51,1723.33
01-10-2019,IN,Kolkata,pm10,82,28,259,60,12086.8
22-09-2019,IN,Kolkata,pm10,96,24,83,54,1440.91
23-09-2019,IN,Kolkata,pm10,94,25,71,39,1247.99
02-10-2019,IN,Kolkata,pm10,60,40,139,93,6163.89
02-07-2019,IN,Kolkata,pm10,95,13,65,32,1403.32
04-07-2019,IN,Kolkata,pm10,96,33,96,56,2517.47
12-08-2019,IN,Kolkata,pm10,87,17,129,52,5360.46
23-08-2019,IN,Kolkata,pm10,96,17,118,37,2297.68
14-09-2019,IN,Kolkata,pm10,72,47,98,62,1550.05
26-07-2019,IN,Kolkata,pm10,96,24,87,49,2768.38
07-08-2019,IN,Kolkata,pm10,89,5,42,18,846.65
28-08-2019,IN,Kolkata,pm10,71,22,78,54,1829.32
30-08-2019,IN,Kolkata,pm10,95,29,65,49,761.77
11-09-2019,IN,Kolkata,pm10,92,26,75,48,1412.78
